suite,sample_id,case_path,query,query_language,query_style,strategy_subtype,expected_report_type,expected_depth,expected_output_format,expected_time_horizon,target_reader,institution_name,institution_business_type,institution_country_or_region,report_title,report_date,publication_period,quality_tier,candidate_path,source_document_path,source_format,source_file_name,source_sha256,source_page_count,source_parse_quality,source_pack_count,key_fact_count,must_have_section_count,prohibited_mistake_count,recommended_runner,verifier_mode,notes
v1_reference_based_golden,strategy_sample_022,evals/strategy_report/cases_merged33/strategy_sample_022.json,What are the benefits and recent growth trends of active ETFs for portfolio construction?,en,institutional_client,asset_allocation,strategy_research,standard_report,pdf,medium-term,institutional investor,Goldman Sachs Asset Management,asset_manager,US,How Active ETFs Can Help Investors Fine-Tune Portfolio Construction,2025-03-06,1Q 2025,A,dataset_build/curated_strategy_samples_verified/asset_allocation/pdf/022-goldman-sachs-asset-management-how-active-etfs-can-help-investors-fine-tune-portfolio-construction.pdf,dataset_build/curated_strategy_samples_verified/asset_allocation/pdf/022-goldman-sachs-asset-management-how-active-etfs-can-help-investors-fine-tune-portfolio-construction.pdf,pdf,022-goldman-sachs-asset-management-how-active-etfs-can-help-investors-fine-tune-portfolio-construction.pdf,5025d1ef1a95360894ad7b745451236cbff05f526f8c4d54a5b05987600821c3,12,excellent,3,5,7,6,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,eastmoney_cn_strategy_001,evals/strategy_report/cases_merged33/eastmoney_cn_strategy_001.json,"2026年北交所打新的收益怎么样,中签率和资金门槛最近有什么变化,后面有哪些板块和标的值得关注",zh,retail_user,bse_strategy_thematic,策略专题报告,standard_report,pdf,2026年Q2及全年展望,关注北交所打新和二级市场的散户与私募机构,开源证券股份有限公司,brokerage,CN,"北交所打新黄金配置期持续,2026年前五月首日涨幅均值201%+中签率企稳",2026-05-24,,A,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260524-AP202605241822840443-b50b86e2db.pdf,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260524-AP202605241822840443-b50b86e2db.pdf,pdf,20260524-AP202605241822840443-b50b86e2db.pdf,4c2b0e5d35c9c8d454bbe95020eb480e4c72091fd8c1d112c992631c1b593778,33,excellent,4,5,7,5,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,eastmoney_cn_strategy_002,evals/strategy_report/cases_merged33/eastmoney_cn_strategy_002.json,2026年6月北交所还有哪些低估值国家级单项冠军可以关注?,zh,institutional_client,bse_strategy_thematic,策略专题报告,standard_report,pdf,短期至中期,机构投资者、北交所市场参与者,开源证券股份有限公司,brokerage,CN,"北交所策略专题报告:北交所的核心硬资产,14家国家级单项冠军深度折价,迎来价值重估机遇",2026-06-07,,A,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260608-AP202606081823348893-d210f7e5ad.pdf,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260608-AP202606081823348893-d210f7e5ad.pdf,pdf,20260608-AP202606081823348893-d210f7e5ad.pdf,1d487db381b9ad84b0566451725522f8075b9b391b90040ea289d923dfa720d3,32,excellent,4,6,7,6,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,eastmoney_cn_strategy_003,evals/strategy_report/cases_merged33/eastmoney_cn_strategy_003.json,无人矿卡渗透率提升对矿用轮胎智能化有什么影响?有哪些北交所相关标的可以关注?,zh,retail_user,北交所行业主题报告,行业主题报告,standard_report,pdf,2025-2032,关注北交所及智能矿山产业链的投资者,开源证券股份有限公司,brokerage,CN,"智能矿山和无人驾驶催生轮胎革命,掘金千亿智能矿卡后市场",2026-06-10,,A,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260610-AP202606101823425858-35af2f34e2.pdf,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260610-AP202606101823425858-35af2f34e2.pdf,pdf,20260610-AP202606101823425858-35af2f34e2.pdf,15584135432a808147725ae88d04f82ca9e6c6018a73a448b26ec67a8dce56c1,30,excellent,5,6,7,6,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,eastmoney_cn_strategy_004,evals/strategy_report/cases_merged33/eastmoney_cn_strategy_004.json,"帮我梳理一下最新的宏观经济形势和重点政策,比如那个十五五城市更新规划主要说了什么,还有最近工业、物价、内需、进出口和金融数据怎么样",zh,retail_user,宏观策略月报,宏观策略月报,standard_report,pdf,2026年5月及后续数月,专业投资机构、高净值个人投资者、研究同行,国元证券股份有限公司,brokerage,CN,"国元证券-元瞻经纬总量月报(2026年5月):""十五五""城市更新,存量提质中实现功能补强-260609.pdf",2026-06-09,2026年5月,A,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260610-AP202606091823400621-33b93aab92.pdf,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260610-AP202606091823400621-33b93aab92.pdf,pdf,20260610-AP202606091823400621-33b93aab92.pdf,3be720eabf19f14c9c7c0ece2e7fdf20a15644d48eacf22583aadde4bdfb86a2,26,excellent,5,7,8,6,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,eastmoney_cn_strategy_005,evals/strategy_report/cases_merged33/eastmoney_cn_strategy_005.json,2026年二季度资产怎么配置?AI算力还能追吗?原油涨价会怎么影响投资?,zh,retail_user,asset_allocation_strategy,季度资产配置策略报告,institutional_style,pdf,2026Q2,机构投资者与高净值个人,爱建证券有限责任公司,brokerage,CN,"AI交织通胀,权益主推算力链 ——2026Q2 资产配置报告",2026-05-21,2026Q2,A,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260521-AP202605211822647981-0704c8d6b6.pdf,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260521-AP202605211822647981-0704c8d6b6.pdf,pdf,20260521-AP202605211822647981-0704c8d6b6.pdf,dfecbe07d29a42fca8f3e7b92555fe7c551bb03d208ed2aa8b5bafe004984768,22,excellent,3,5,7,5,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,eastmoney_cn_strategy_006,evals/strategy_report/cases_merged33/eastmoney_cn_strategy_006.json,最近高油价对全球经济和大类资产有什么影响?科技和算力这块还能继续配置吗?,zh,retail_user,asset_allocation_strategy,asset_allocation_strategy,institutional_style,pdf,一周至月度,策略研究员、基金经理、资产配置者,东海证券股份有限公司,brokerage,CN,"高油价影响需求和通胀,仍围绕科技和算力主线——资产配置周报(2026/5/18-2026/5/22)",2026-05-24,2026/5/18-2026/5/22,A,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260525-AP202605251822846492-7ca14cdf08.pdf,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260525-AP202605251822846492-7ca14cdf08.pdf,pdf,20260525-AP202605251822846492-7ca14cdf08.pdf,4cd4059f86e7085dd23f9884198bf11ed8d610207dfd3003b2490a183bd0f586,24,excellent,3,6,8,5,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,eastmoney_cn_strategy_007,evals/strategy_report/cases_merged33/eastmoney_cn_strategy_007.json,最近北交所有哪些并购重组的案例和政策更新?,zh,retail_user,ma_strategy_thematic,北交所并购重组策略专题报告,standard_report,pdf,中期策略参考,北交所投资者与产业研究员,开源证券股份有限公司,brokerage,CN,"芳纶格局生变—从民士达购买中菱科技""强链""到杜邦""易主"" ——北交所并购重组专题报告第二十五期",2026-05-31,,B,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260601-AP202605311823108367-66e0e76032.pdf,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260601-AP202605311823108367-66e0e76032.pdf,pdf,20260601-AP202605311823108367-66e0e76032.pdf,5dba87720f2a6eaa41fd11e809f1f3b9b512412dac6a1bf87f48511056c3b16d,19,excellent,4,5,6,4,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,eastmoney_cn_strategy_008,evals/strategy_report/cases_merged33/eastmoney_cn_strategy_008.json,"梳理一下2026年北交所上市新股的特点,特别是专精特新的占比和行业分布情况,并分析当前北交所的估值水平和结构性机会。",zh,institutional_client,bse_strategy_thematic,strategy_research_report,standard_report,pdf,2026年至今及后市展望,策略研究员和机构投资者,开源证券,brokerage,CN,"2026年北交所新股解码:专精特新占比90%,先进制造主导聚焦未来""产业链""",2026-05-31,,A,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260601-AP202605311823108369-e379da31c1.pdf,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260601-AP202605311823108369-e379da31c1.pdf,pdf,20260601-AP202605311823108369-e379da31c1.pdf,99da99b5ce8e30b90c2089271467ee3167f63cbb1a035ba70158831e3493d38e,32,excellent,3,5,7,5,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,eastmoney_cn_strategy_009,evals/strategy_report/cases_merged33/eastmoney_cn_strategy_009.json,"请分析AI硬件利益格局调整对A股投资策略的影响,特别是英伟达Rubin架构内存配比变化后,科技板块内部的投资机会切换逻辑和风险。",zh,institutional_client,weekly_investment_strategy,投资策略周报,standard_report,pdf,短期至中期,机构投资者,开源证券股份有限公司,brokerage,CN,"AI硬件利益格局调整,孕育科技内部切换机会",2026-06-07,,B,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260607-AP202606071823341591-60bd8f31ce.pdf,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260607-AP202606071823341591-60bd8f31ce.pdf,pdf,20260607-AP202606071823341591-60bd8f31ce.pdf,8ccd2c26cf14bf912ff586aa830f2d90b1e82c36bc48151be2e9ee1385439137,13,excellent,3,5,7,5,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
v1_reference_based_golden,eastmoney_cn_strategy_010,evals/strategy_report/cases_merged33/eastmoney_cn_strategy_010.json,"聊聊北交所涂料产业链有哪些值得关注的标的,高端涂料国产替代空间大吗?",zh,retail_user,bse_strategy_thematic,北交所策略专题报告,standard_report,pdf,中短期(数周至数月),权益市场投资者、机构客户、行业研究员,开源证券股份有限公司,brokerage,CN,"高端涂料外资垄断下的百亿蓝海,北交所高端涂料军团族兴新材、彩客科技、雅图高新亮相",2026-05-31,,A,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260601-AP202605311823108372-c2c92754e6.pdf,dataset_build/raw_pdfs/strategy_research/eastmoney-strategy-reports/item/20260601-AP202605311823108372-c2c92754e6.pdf,pdf,20260601-AP202605311823108372-c2c92754e6.pdf,b640057d9d928a791b4ee8b9da29b98bdb5267aaabecb54f3015636e7cffd6da,21,excellent,3,6,7,5,evals/strategy_report/run_eval.py,reference_based,golden sample: has query contract and reference source document metadata
